EPCI 2017;libellé;année;patients ayant consommé au moins un remboursement de soins au régime agricole
200067908;CC Amognes Coeur du Nivernais;2017;1161
200067916;CC Loire, Vignobles et Nohain;2017;2493
200067924;CC du Canton d'Erstein;2017;1910
200067932;CA Golfe du Morbihan - Vannes;2017;11041
200067940;CC Couserans-Pyrénées;2017;3096
200067957;CC Haut Chemin-Pays de Pange;2017;822
200067965;CA de la Région de Compiègne et de la Basse Automne;2017;1614
200067973;CC du Pays de Thelle et Ruraloise;2017;1752
200067981;CA Guingamp-Paimpol Armor-Argoat;2017;10035
200067999;CA du Beauvaisis;2017;3837
200068005;CC de l'Oise Picarde;2017;2765
200068047;CA Creil Sud Oise;2017;1041
200068070;CC Loue-Lison;2017;2376
200068088;CC Loire, Nièvre et Bertranges;2017;1345
200068096;CC Champsaur-Valgaudemar;2017;1219
200068104;CA de la Provence Verte;2017;6269
200068112;CC de Saverne-Marmoutier-Sommerau;2017;1490
200068120;CA Quimper Bretagne Occidentale;2017;5641
200068146;CC Sarrebourg Moselle Sud;2017;2220
200068229;CC des Baronnies en Drôme Provençale;2017;3416
200068278;CC Berry Loire Puisaye;2017;1180
200068294;CC des Deux Vallées Vertes;2017;999
200068369;CC de Mirecourt Dompaire;2017;1783
200068377;CC de la Porte des Vosges Méridionales;2017;1108
200068435;CC Coeur du Perche;2017;1200
200068443;CC Andaine - Passais;2017;2203
200068450;CC Argentan Intercom;2017;3765
200068468;CC des Pays de l'Aigle;2017;2028
200068484;CC des Causses à l'Aubrac;2017;2712
200068500;CA de Cambrai;2017;4304
200068534;CC Terroir de Caux;2017;3928
200068542;CC Les Balcons du Dauphiné;2017;2434
200068559;CC de l'Ouest Vosgien;2017;1918
200068567;CC Les Vals du Dauphiné;2017;2387
200068625;"CC Alpes-Provence-Verdon ""sources de Lumière""";2017;851
200068641;CA Le Muretain;2017;2028
200068658;CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles;2017;2520
200068666;CA de Saint-Dizier Der et Blaise;2017;2351
200068674;CA du Lac du Bourget (Grand Lac);2017;2326
200068682;CC Terre d'Eau;2017;2009
200068757;CA d'Épinal;2017;4449
200068765;CC du Sisteronais-Buëch;2017;3457
200068773;CC des Vosges Côté Sud Ouest;2017;1996
200068781;CA Valence Romans;2017;11030
200068799;CC Intercom de la Vire au Noireau;2017;6169
200068807;CC Lèze Ariège;2017;1283
200068815;CC Coeur de Garonne;2017;2072
200068831;CC Pays Ségali;2017;4301
200068856;CC des Hauts du Perche;2017;1003
200068864;CC de la Mossig et du Vignoble;2017;1663
200068872;CC Éguzon - Argenton - Vallée de la Creuse;2017;1217
200068880;CC du Canton de Vatan et de Champagne Berrichonne;2017;1151
200068914;CC La Rochefoucauld - Porte du Périgord;2017;1874
200068922;CC du Confluent et des Coteaux de Prayssas;2017;4560
200068930;CC Fumel Vallée du Lot;2017;2918
200068948;CC Albret Communauté;2017;5648
200068955;CC Anjou Loir et Sarthe;2017;3273
200068963;CC Maine Coeur de Sarthe;2017;1511
200068989;CA Dinan;2017;9497
200068997;CA Arlysère;2017;2450
200069003;CC du Barséquanais en Champagne;2017;5804
200069029;CA des Deux Baies en Montreuillois;2017;2673
200069037;CA du Pays de Saint-Omer;2017;4798
200069052;CA Grand Belfort;2017;1044
200069060;CC des Vosges du Sud;2017;286
200069086;CC Leff Armor Communauté;2017;4273
200069094;CC Isle et Crempse-en-Périgord;2017;1451
200069102;CC Randon - Margeride;2017;1365
200069110;CA Chambéry Métropole-Coeur des Bauges;2017;3688
200069128;CC Mont Lozère;2017;928
200069136;CC des Cévennes Au Mont Lozère;2017;803
200069144;CC des Hautes Terres de l'Aubrac;2017;1401
200069151;CC Gorges Causses Cévennes;2017;963
200069169;CC Dômes Sancy Artense;2017;2832
200069177;CC Mond'Arverne Communauté;2017;1873
200069185;CC des Terres d'Apcher-Margeride-Aubrac;2017;1460
200069193;CC de la Dombes;2017;3151
200069227;CC Pays Fort Sancerrois Val de Loire;2017;3582
200069235;CC du Haut Pays du Montreuillois;2017;3028
200069250;CA Troyes Champagne Métropole;2017;6067
200069268;CC Aubrac Lot Causse et Pays de Chanac;2017;1179
200069300;CA Tarbes-Lourdes-Pyrénées;2017;4350
200069383;CC du Grand Villefranchois;2017;3530
200069391;CC Lamballe Terre et Mer;2017;13091
200069409;CA Saint-Brieuc Armor;2017;11409
200069417;CC Pays d'Orthe et Arrigans;2017;2999
200069425;CA Mont-Saint-Michel-Normandie;2017;13744
200069433;CC de Vezouze en Piémont;2017;1295
200069441;CC du Pays de Bitche;2017;1232
200069458;CC des Vallées d'Auge et du Merlerault;2017;2587
200069482;CC des Campagnes de l'Artois;2017;4155
200069516;CC Seulles Terre et Mer;2017;1222
200069524;CC Pré-Bocage Intercom;2017;3143
200069532;CA Lisieux Normandie;2017;5299
200069540;CC Norge et Tille;2017;745
200069565;CC des Lacs et Montagnes du Haut-Doubs;2017;1017
200069581;CC de Podensac, des Coteaux de Garonne et de Lestiac-sur-Garonne, Paillet, Rions;2017;3863
200069599;CC Rurales de l'Entre-deux-Mers;2017;4645
200069615;CC Bresse Haute Seille;2017;1953
